,seller_id,review_medie,order_count,product_count,fatturato,best_seller_category,fatturato_medio_per_prodotto,media_deltatime,seller_autonomous_community_x,seller_city
0,3442f8959a84dea7ee197c632cb2df15,5,2,2,218.7,sport outdoors,109.35,18.5,Andalucía,Málaga
1,d1b65fc7debc3361ea86b5f14c68d2e2,3.5,37,41,11703.07,luggage,285.4407317,8.945945946,Andalucía,Jaén
2,ce3ad9de960102d0677a81f5d0bb7b2d,4,1,1,158.0,kids,158,4,Cataluña,Barcelona
3,c0f3eea2e14555b6faeea3dd58c1b1c3,5,1,1,79.99,sport outdoors,79.99,5,Comunidad de Madrid,Madrid
4,51a04a8a6bdcb23deccc82b0b80742cf,5,1,1,167.99,television & video,167.99,35,Andalucía,Jaén
5,c240c4061717ac1806ae6ee72be3533b,#N/D,#N/D,#N/D,59.9,pet food,#N/D,#N/D,Cataluña,Barcelona
6,e49c26c3edfa46d227d5121a6b6e4d37,4.272727273,33,37,3654.25,videogame console,98.76351351,11.72727273,Islas Canarias,Puerto del Rosario - Fuerteventura
7,1b938a7ec6ac5061a66a3766e0e75f90,3.966666667,29,34,3987.6,kids,117.2823529,11.27586207,Andalucía,Jaen
8,768a86e36ad6aae3d03ee3c6433d61df,4.375,16,16,587.46,toys games,36.71625,5.0625,Comunidad de Madrid,Madrid
9,ccc4bbb5f32a6ab2b7066a4130f114e3,4.270718232,180,193,74004.62,beauty & personal care,383.4436269,15.86111111,Galicia,Coruña
10,8cb7c5ddf41f4d506eba76e9a4702a25,5,1,2,138.0,sport outdoors,69,16,Aragón,Huesca
11,a7a9b880c49781da66651ccf4ba9ac38,4.5,3,4,307.6,kitchen & dining,76.9,9.333333333,Andalucía,Granada
12,8bd0f31cf0a614c658f6763bd02dea69,4.033333333,31,34,4455.34,furniture,131.0394118,9.709677419,Comunidad de Madrid,Madrid
13,05a48cc8859962767935ab9087417fbb,5,1,1,42.9,lawn garden,42.9,11,Comunidad de Madrid,Madrid
14,7b8e8ec35bad4b0ef7e3963650b0a87b,3.2,5,5,2244.28,automotive,448.856,22,Castilla y León,Zamora
15,1444c08e64d55fb3c25f0f09c07ffcf2,5,1,1,2749.0,lawn garden,2749,10,País Vasco,San Sebastián
16,166e8f1381e09651983c38b1f6f91c11,5,2,2,78.8,0,39.4,14,Castilla y León,León
17,e38db885400cd35c71dfd162f2c1dbcf,3.967741935,30,32,2066.8,kitchen & dining,64.5875,12.7,Región de Murcia,Murcia
18,d2e753bb80b7d4faa77483ed00edc8ca,3.875,13,16,1320.7,fashion & shoes,82.54375,13.69230769,País Vasco,San Sebastián
19,f9ec7093df3a7b346b7bcf7864069ca3,3.8,9,10,519.2,home accessories,51.92,6.222222222,Comunidad de Madrid,Madrid
20,4e6015589b781adaa5ce7f1892d06bb1,5,3,3,684.0,sport outdoors,228,6,Andalucía,Córdoba
21,4cf490a58259286ada5ba8525ba9e84a,3.714285714,7,8,1254.2,comics,156.775,24.57142857,Andalucía,Huelva
22,f7496d659ca9fdaf323c0aae84176632,4.086956522,23,26,5087.57,furniture,195.6757692,12.73913043,Comunidad de Madrid,Madrid
23,2ff97219cb8622eaf3cd89b7d9c09824,4.302325581,84,98,4476.9,home accessories,45.68265306,8.94047619,Andalucía,Huelva
24,8bd0e3abda539b9479c4b44a691be1ec,4.666666667,6,13,596.55,beauty & personal care,45.88846154,23.66666667,Comunidad Valenciana,Castellón
25,2a1348e9addc1af5aaa619b1a3679d6b,4.270833333,44,59,2843.0,furniture,48.18644068,20.06818182,Comunidad de Madrid,Madrid
26,2078fe5066350e7d220c0ad3a3bbc6c1,#N/D,#N/D,1,29.9,furniture,29.9,#N/D,Galicia,Pontevedra
27,116ccb1a1604bc88e4d234a8c23f33de,3.966101695,58,73,2004.89,automotive,27.46424658,8.931034483,Andalucía,Granada
28,430315b7bb4b6e4b3c978f9dfa9b0558,4.111111111,18,21,3118.4,home accessories,148.4952381,12.44444444,Comunidad de Madrid,Madrid
29,406822777a0b9eb5c50e442dd4cd3ec5,4.357142857,43,47,3648.08,toys games,77.6187234,13.48837209,Andalucía,Jaén
30,4dbd95a08b31ede5c82d3f861cb1ce1a,4.25,4,6,1304.67,book,217.445,12,Galicia,Coruña
31,e9e446d01bd10a97a8ffcfc4a3a20cb2,5,3,4,60.05,fragrance,15.0125,5.333333333,Comunidad de Madrid,Madrid
32,d52cbce9845184537284a23c3bc3da0e,3.333333333,2,4,75.0,book,18.75,10,Castilla y León,Palencia
33,d9a84e1403de8da0c3aa531d6d108ba6,4.178571429,53,61,1425.2,toys games,23.36393443,7.452830189,Comunidad de Madrid,Madrid
34,9c690ceacd5c66731bf443ea810195cb,3.9,10,12,871.8,lawn garden,72.65,7.6,Comunidad de Madrid,Alcobendas
35,1f9ab4708f3056ede07124aad39a2554,3.934210526,76,83,13602.73,kids,163.8883133,14.5,Andalucía,Málaga
36,1961c3e1272bfeceb05d0b78b5bbfdaf,1,1,4,896.0,videogame,224,11,Andalucía,Cádiz
37,d3e7d37c0df9aef383f3f2a15b0dddfb,5,1,1,161.0,health household,161,13,Galicia,Ourense
38,ec2e006556300a79a5a91e4876ab3a56,5,2,8,125.2,hardware,15.65,13.5,Comunidad de Madrid,Madrid
39,b2a6d334e2833acea353624840e25a0e,4.304347826,23,25,1650.98,home lighting,66.0392,11,Comunidad de Madrid,Madrid
40,d3674f271c91f824f82d24d92011f669,4,20,20,1718.3,fragrance,85.915,13.75,Región de Murcia,Murcia
41,768de2a4fc06aacecb9a586ccc30746a,4.384615385,13,14,475.6,comics,33.97142857,14.84615385,Región de Murcia,Murcia
42,a81466620e46a6970b22ef40379fdfc9,4,2,2,321.8,computer accessories,160.9,7,Castilla y León,Valladolid
43,5c030029b5916fed0986310385ec9009,4.375,7,10,4164.4,home accessories,416.44,6.142857143,Castilla y León,Zamora
44,c0f783394e37cd9c9d7f5f81141450fa,3.75,5,6,249.4,0,41.56666667,14.2,Andalucía,Almería
45,c353f8fc0ce8344999f17d578eb69a5e,4.5,2,2,175.98,beauty & personal care,87.99,10,Comunidad Valenciana,Valencia
46,8444e55c1f13cd5c179851e5ca5ebd00,4.032258065,90,110,22873.21,fragrance,207.9382727,21.25555556,Comunidad de Madrid,Madrid
47,28a26ebce31d5918b181ede016fd693b,5,1,1,29.9,beauty & personal care,29.9,11,Comunidad de Madrid,Madrid
48,41ab63a91b8b264e8c8780368bf1dd5b,3.636363636,11,12,2571.95,home lighting,214.3291667,17.36363636,Comunidad de Madrid,Madrid
49,8759e7aedd644f487315e5860962f162,3.333333333,3,3,627.0,ceiling fans,209,32.66666667,Andalucía,Córdoba
50,e546117ed9cafbc40239c0c78635c584,5,2,2,456.0,fragrance,228,6.5,Comunidad de Madrid,Madrid
51,d71d863e5ef30d94e440c11be17dcd8f,4.35,22,35,11900.9,home emergency kits,340.0257143,19.13636364,Andalucía,Jaén
52,0c7533c71df861ec58ad7ff999ed0e8d,4.142857143,58,72,2989.3,fragrance,41.51805556,10.5862069,Andalucía,Granada
53,ef990a83bbea832f36ebe81376335aa8,4,41,45,4642.59,sport outdoors,103.1686667,17.19512195,Castilla y León,Salamanca
54,41e0fa5761c886a630994a55c12087e7,4.5,4,5,423.6,beauty & personal care,84.72,10,Andalucía,Córdoba
55,0747d5bb69f0586cc869d8af4c50f93e,4.384615385,12,15,346.6,fragrance,23.10666667,14.16666667,Cataluña,Gerona
56,7d294cf9a6a69dc6a0c3e540fff0e039,4.4,5,5,257.25,kids,51.45,8.8,Castilla y León,Zamora
57,c89cf7c468a48af70aada384e722f9e2,4.333333333,14,14,745.0,toys games,53.21428571,14.07142857,Cataluña,Gerona
58,b7ba853e9551f4558440881fd3e5c815,4,1,2,376.8,cell phones,188.4,35,Comunidad Valenciana,Castellón
59,13c2ed7698b3ca92dad49e849219da59,4.75,8,9,498.61,fragrance,55.40111111,10.875,Galicia,Coruña
60,cbbd5ae8f53de5f5097cd8217b529e24,5,1,2,351.8,kids,175.9,21,Andalucía,Málaga
61,02ecc2a19303f05e59ce133fd923fff7,3.954545455,20,25,5264.19,lawn garden,210.5676,10.4,Andalucía,Córdoba
62,c013e57c075a06e5b5c48ee03c525719,4.302325581,40,46,1971.55,pet supplies,42.85978261,9.45,Andalucía,Cádiz
63,55f7a3319d80f7fdf078b8f03e6725fe,4.136363636,22,22,3013.78,automotive,136.99,6.681818182,Andalucía,Jaén
64,2d50d6282f8aa2257819a77bfaa0efe0,4.361702128,42,48,3353.48,kitchen & dining,69.86416667,13.61904762,Andalucía,Granada
65,b7e1750c1157341d2abd0251e07c186b,5,3,4,159.6,sport outdoors,39.9,10.33333333,Comunidad de Madrid,Madrid
66,b90e891671cffd9557f33a97dc523645,3.696969697,33,38,4449.0,beauty & personal care,117.0789474,7.666666667,Galicia,Ourense
67,a416b6a846a11724393025641d4edd5e,3.881987578,154,181,25670.72,beauty & personal care,141.8271823,12.56493506,Comunidad de Madrid,Madrid
68,7e93a43ef30c4f03f38b393420bc753a,4.16875,316,342,176431.87,jewelry,515.8826608,11.23734177,Andalucía,Córdoba
69,5206cc4bc2297c833e6061c49bf9c43f,#N/D,#N/D,1,35.0,automotive,35,#N/D,Andalucía,Jaén
70,f410c8873029fcc3809b9df6d0b28914,3.5,2,2,289.8,automotive,144.9,7.5,Andalucía,Granada
71,ef506c96320abeedfb894c34db06f478,4.168316832,302,337,9771.43,cell phones,28.99534125,13.59602649,Comunidad de Madrid,Madrid
72,a13aaf2d2886ab9fb30fb9a920160b8f,5,3,4,1011.52,music instruments,252.88,9.333333333,Castilla y León,Salamanca
73,7299e27ed73d2ad986de7f7c77d919fa,4.067484663,325,365,34725.43,videogame console,95.13816438,11.19692308,Comunidad de Madrid,Parla
74,8a9260f2b0340411d6d2a56bcf4f7378,4.75,8,9,1256.0,pet food,139.5555556,9.875,Comunidad de Madrid,Fuenlabrada
75,dedcab67899479e4ea5dcc4eba47f587,4.5,2,2,84.0,automotive,42,5.5,Castilla y León,Valladolid
76,b2479f944e1b90cf8a5de1bbfde284d6,4.029411765,96,127,4752.51,kitchen & dining,37.42133858,15.67708333,Andalucía,Granada
77,7722b1df1b0e383e000397b2c11e3e19,4.107692308,128,146,7094.09,home accessories,48.58965753,8.21875,Andalucía,Granada
78,731ef20c231d9a7103a425e83fd91271,3.5,2,3,1692.0,health household,564,13,Castilla y León,León
79,78813699ffac347fe27dba345a5f1551,4,1,1,152.42,coffee machines,152.42,9,Comunidad Valenciana,Valencia
80,3296662b1331dea51e744505065ae889,5,1,1,517.8,bakeware,517.8,3,Andalucía,Huelva
81,411f3b52d857390502ee4e4d5ceabc2d,4.111111111,20,29,1804.01,hardware,62.20724138,9.55,Andalucía,Jaén
82,bba3293d6f5d5af2f415e004e8b93ae3,4.411764706,17,17,11702.1,beauty & personal care,688.3588235,12.11764706,Comunidad de Madrid,Madrid
83,4e7c18b98d84e05cbae3ff0ff03846c2,4.355263158,78,88,9177.9,home lighting,104.2943182,12.07692308,Andalucía,Sevilla
84,b56906f7fd1696e043f1bcce164c487b,3.951219512,40,43,2148.49,beauty & personal care,49.96488372,12.775,Andalucía,Jaén
85,d650b663c3b5f6fb392b6326366efa9a,4.236363636,55,59,19242.9,jewelry,326.1508475,9.709090909,Andalucía,Málaga
86,669ae81880e08f269a64487cfb287169,4.006369427,157,188,13248.87,sport outdoors,70.47271277,12.17834395,Castilla y León,Salamanca
87,c2d70ce2c5d0a2eb75e78668236e6dc8,4.307692308,13,15,2470.9,home accessories,164.7266667,8.307692308,Comunidad de Madrid,Madrid
88,674207551483fec113276b67b0d871ff,1,1,1,119.9,home accessories,119.9,2,Andalucía,Sevilla
89,abe42c5d03695b4257b5c6cbf4e6784e,4.382978723,48,50,17159.0,beauty & personal care,343.18,14.1875,Cataluña,Barcelona
